state,name,pop_2019
Alabama,Autauga County,55380
Alabama,Baldwin County,212830
Alabama,Barbour County,25361
Alabama,Bibb County,22493
Alabama,Blount County,57681
Alabama,Bullock County,10248
Alabama,Butler County,19828
Alabama,Calhoun County,114618
Alabama,Chambers County,33660
Alabama,Cherokee County,25903
Alabama,Chilton County,44055
Alabama,Choctaw County,12925
Alabama,Clarke County,24128
Alabama,Clay County,13337
Alabama,Cleburne County,14916
Alabama,Coffee County,51662
Alabama,Colbert County,54771
Alabama,Conecuh County,12394
Alabama,Coosa County,10757
Alabama,Covington County,37200
Alabama,Crenshaw County,13844
Alabama,Cullman County,82853
Alabama,Dale County,49277
Alabama,Dallas County,39149
Alabama,DeKalb County,71310
Alabama,Elmore County,81144
Alabama,Escambia County,37057
Alabama,Etowah County,102748
Alabama,Fayette County,16494
Alabama,Franklin County,31466
Alabama,Geneva County,26417
Alabama,Greene County,8324
Alabama,Hale County,14809
Alabama,Henry County,17133
Alabama,Houston County,104702
Alabama,Jackson County,51852
Alabama,Jefferson County,659680
Alabama,Lamar County,13885
Alabama,Lauderdale County,92556
Alabama,Lawrence County,33058
Alabama,Lee County,161152
Alabama,Limestone County,94727
Alabama,Lowndes County,10079
Alabama,Macon County,18708
Alabama,Madison County,362276
Alabama,Marengo County,19321
Alabama,Marion County,29866
Alabama,Marshall County,95643
Alabama,Mobile County,414114
Alabama,Monroe County,21270
Alabama,Montgomery County,226941
Alabama,Morgan County,119213
Alabama,Perry County,9293
Alabama,Pickens County,20243
Alabama,Pike County,33333
Alabama,Randolph County,22647
Alabama,Russell County,57952
Alabama,St. Clair County,87989
Alabama,Shelby County,213432
Alabama,Sumter County,12797
Alabama,Talladega County,80387
Alabama,Tallapoosa County,40541
Alabama,Tuscaloosa County,207305
Alabama,Walker County,64110
Alabama,Washington County,16541
Alabama,Wilcox County,10681
Alabama,Winston County,23784
Alaska,Aleutians East Borough,3385
Alaska,Aleutians West Census Area,5698
Alaska,Anchorage Municipality,293531
Alaska,Bethel Census Area,18134
Alaska,Bristol Bay Borough,875
Alaska,Denali Borough,2246
Alaska,Dillingham Census Area,4961
Alaska,Fairbanks North Star Borough,99072
Alaska,Haines Borough,2518
Alaska,Hoonah Angoon Census Area,2139
Alaska,Juneau City and Borough,32227
Alaska,Kenai Peninsula Borough,58464
Alaska,Ketchikan Gateway Borough,13800
Alaska,Kodiak Island Borough,13451
Alaska,Kusilvak Census Area,8250
Alaska,Lake and Peninsula Borough,1393
Alaska,Matanuska-Susitna Borough,105369
Alaska,Nome Census Area,9988
Alaska,North Slope Borough,9792
Alaska,Northwest Arctic Borough,7715
Alaska,Petersburg Borough,3257
Alaska,Prince of Wales-Hyder Census Area,6407
Alaska,Sitka City and Borough,8640
Alaska,Skagway,1107
Alaska,Southeast Fairbanks Census Area,6878
Alaska,Valdez-Cordova Census Area,9243
Alaska,Wrangell,2502
Alaska,Yakutat City and Borough,649
Alaska,Yukon-Koyukuk Census Area,5377
Arizona,Apache County,71511
Arizona,Cochise County,125867
Arizona,Coconino County,141274
Arizona,Gila County,53546
Arizona,Graham County,37996
Arizona,Greenlee County,9522
Arizona,La Paz County,20793
Arizona,Maricopa County,4328810
Arizona,Mohave County,207695
Arizona,Navajo County,109270
Arizona,Pima County,1027207
Arizona,Pinal County,432793
Arizona,Santa Cruz County,46480
Arizona,Yavapai County,228067
Arizona,Yuma County,209468
Arkansas,Arkansas County,17914
Arkansas,Ashley County,20270
Arkansas,Baxter County,41427
Arkansas,Benton County,265759
Arkansas,Boone County,37331
Arkansas,Bradley County,10874
Arkansas,Calhoun County,5192
Arkansas,Carroll County,27965
Arkansas,Chicot County,10615
Arkansas,Clark County,22386
Arkansas,Clay County,14889
Arkansas,Cleburne County,25100
Arkansas,Cleveland County,8128
Arkansas,Columbia County,23776
Arkansas,Conway County,20858
Arkansas,Craighead County,107345
Arkansas,Crawford County,62739
Arkansas,Crittenden County,48672
Arkansas,Cross County,16824
Arkansas,Dallas County,7279
Arkansas,Desha County,11709
Arkansas,Drew County,18417
Arkansas,Faulkner County,123624
Arkansas,Franklin County,17738
Arkansas,Fulton County,12231
Arkansas,Garland County,98555
Arkansas,Grant County,18126
Arkansas,Greene County,44937
Arkansas,Hempstead County,21842
Arkansas,Hot Spring County,33597
Arkansas,Howard County,13311
Arkansas,Independence County,37427
Arkansas,Izard County,13570
Arkansas,Jackson County,17027
Arkansas,Jefferson County,69282
Arkansas,Johnson County,26372
Arkansas,Lafayette County,6800
Arkansas,Lawrence County,16549
Arkansas,Lee County,9194
Arkansas,Lincoln County,13455
Arkansas,Little River County,12347
Arkansas,Logan County,21668
Arkansas,Lonoke County,72528
Arkansas,Madison County,16211
Arkansas,Marion County,16476
Arkansas,Miller County,43572
Arkansas,Mississippi County,42126
Arkansas,Monroe County,7050
Arkansas,Montgomery County,8950
Arkansas,Nevada County,8351
Arkansas,Newton County,7812
Arkansas,Ouachita County,23830
Arkansas,Perry County,10355
Arkansas,Phillips County,18606
Arkansas,Pike County,10756
Arkansas,Poinsett County,23896
Arkansas,Polk County,20094
Arkansas,Pope County,63761
Arkansas,Prairie County,8189
Arkansas,Pulaski County,392967
Arkansas,Randolph County,17695
Arkansas,St. Francis County,25900
Arkansas,Saline County,119415
Arkansas,Scott County,10376
Arkansas,Searcy County,7908
Arkansas,Sebastian County,127591
Arkansas,Sevier County,17081
Arkansas,Sharp County,17139
Arkansas,Stone County,12475
Arkansas,Union County,39449
Arkansas,Van Buren County,16642
Arkansas,Washington County,232289
Arkansas,White County,78762
Arkansas,Woodruff County,6533
Arkansas,Yell County,21464
California,Alameda County,1656754
California,Alpine County,1039
California,Amador County,38429
California,Butte County,225817
California,Calaveras County,45514
California,Colusa County,21454
California,Contra Costa County,1142251
California,Del Norte County,27495
California,El Dorado County,188563
California,Fresno County,984521
California,Glenn County,27976
California,Humboldt County,135940
California,Imperial County,180701
California,Inyo County,17977
California,Kern County,887641
California,Kings County,150691
California,Lake County,64195
California,Lassen County,30818
California,Los Angeles County,10081570
California,Madera County,155433
California,Marin County,259943
California,Mariposa County,17420
California,Mendocino County,87224
California,Merced County,271382
California,Modoc County,8907
California,Mono County,14310
California,Monterey County,433410
California,Napa County,139623
California,Nevada County,99244
California,Orange County,3168044
California,Placer County,385512
California,Plumas County,18660
California,Riverside County,2411439
California,Sacramento County,1524553
California,San Benito County,60376
California,San Bernardino County,2149031
California,San Diego County,3316073
California,San Francisco County,874961
