Incident ID,Incident Date,State,City Or County,Complete_Address,School,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3034978,2024-09-27T00:00:00Z,Wyoming,Rock Springs,"1375 James Dr,Rock Springs,Wyoming",Rock Springs High School,"41.5921576,-109.2067898981085",0,0,0,0,0
3034963,2024-09-26T00:00:00Z,Idaho,Pocatello,"1800 Bench Rd,Pocatello,Idaho",Highland High School,"42.90856505,-112.42557834414242",0,0,0,0,0
3034653,2024-09-25T00:00:00Z,Georgia,Newnan,"190 Lagrange St,Newnan,Georgia",Newnan High School,"33.3643631,-84.8101376",0,0,0,0,1
3033809,2024-09-25T00:00:00Z,Washington,Kennewick,"600 N. Arthur St,Kennewick,Washington",Kamiakin High School,"46.217567450000004,-119.18905727781205",0,0,0,0,0
3034542,2024-09-25T00:00:00Z,Louisiana,Loranger,"19404 Hiatt Rd,Loranger,Louisiana",Loranger High School,"30.6406643,-90.3999881",0,0,0,0,1
3034261,2024-09-25T00:00:00Z,Pennsylvania,Williamsport,"2990 W 4th St,Williamsport,Pennsylvania",WILLIAMSPORT AREA HIGH SCHOOL,"41.24225335,-77.07575693867729",0,0,0,0,1
3034905,2024-09-25T00:00:00Z,Tennessee,Maryville,"131 S Old Glory Rd,Maryville,Tennessee",Mary Blount Elementary School,"35.75125775,-84.03878074004291",0,0,0,0,1
3034921,2024-09-25T00:00:00Z,Tennessee,Memphis,"1363 E Person Ave,Memphis,Tennessee",Hamilton High School,"35.0999649,-90.01670695416024",0,0,0,0,1
3033131,2024-09-24T00:00:00Z,Delaware,New Castle,"713 E Basin Rd,New Castle,Delaware",William Penn High School,"39.66827605,-75.58538125828318",0,0,0,0,1
3033272,2024-09-24T00:00:00Z,North Carolina,Charlotte,"4000 Gallant Ln,Charlotte,North Carolina",Kennedy Middle School,"35.1534032,-80.95585084185187",0,0,0,0,1
3034561,2024-09-24T00:00:00Z,North Carolina,Warsaw,"158 Lanefield Rd,Warsaw,North Carolina",Warsaw Elementary School,"34.99682215,-78.07739508312127",0,0,0,0,0
3033601,2024-09-24T00:00:00Z,New York,Brooklyn,"6565 Flatlands Ave,Brooklyn,New York",South Shore High School,"40.6336432,-73.9175544",0,1,0,0,0
3034226,2024-09-24T00:00:00Z,Washington,Camas,"5220 NW Parker St,Camas,Washington",Skyridge Middle School,"45.61625735,-122.4469354592909",0,0,0,0,0
3032410,2024-09-23T00:00:00Z,Alabama,Albertville,"402 E McCord Ave,Albertville,Alabama",Albertville High School,"34.2617129,-86.2048526",0,0,0,0,1
3031797,2024-09-23T00:00:00Z,Kansas,Wichita,"2101 W 45th St S,Wichita,Kansas",Cessna Elementary School,"37.61025935,-97.36252254244013",0,1,0,1,1
3032802,2024-09-23T00:00:00Z,Florida,Jacksonville,"4412 Barnes Rd S,Jacksonville,Florida",Englewood High School,"30.2773857,-81.6123654048564",0,0,0,0,1
3031860,2024-09-22T00:00:00Z,Arizona,Tucson,"910 E 5th St,Tucson,Arizona",University of Arizona,"32.23563985,-110.9517440773026",1,0,0,0,1
3032628,2024-09-22T00:00:00Z,New York,Batavia,"8170 Batavia Stafford Townline Rd,Batavia,New York",Genesee Community College,"43.016037,-78.140394",0,0,0,0,1
3031418,2024-09-21T00:00:00Z,Texas,Marble Falls,"2101 Mustang Dr,Marble Falls,Texas",Marble Falls High School,"30.58471495,-98.25169662081458",0,1,0,0,0
3032165,2024-09-21T00:00:00Z,South Dakota,Sioux Falls,"2900 S Cliff Ave,Sioux Falls,South Dakota",Lincoln High School,"43.51814845,-96.70910413545101",0,0,0,0,1
3030406,2024-09-20T00:00:00Z,Oregon,Gresham,"1200 N Main Ave,Gresham,Oregon",Gresham High School,"45.50638015,-122.42850005300714",0,0,0,0,1
3029512,2024-09-20T00:00:00Z,West Virginia,Miami,"5118 Cabin Creek Rd,Miami,West Virginia",Sharon Dawes Elementary School,"38.1489005,-81.4483993",0,0,0,0,1
3029118,2024-09-20T00:00:00Z,Louisiana,Youngsville,"312 Almonaster Rd,Youngsville,Louisiana",Southside High,"30.090345499999998,-91.97001829467015",0,0,0,0,1
3028309,2024-09-19T00:00:00Z,Florida,Sebring,"3514 Kenilworth Blvd,Sebring,Florida",Sebring High School,"27.48858095,-81.43115446169728",0,0,0,0,1
3029348,2024-09-19T00:00:00Z,Texas,San Antonio,"600 N Ellison Dr,San Antonio,Texas",John Paul Stevens High School,"29.4401769,-98.68421947744025",0,0,0,0,1
3029797,2024-09-19T00:00:00Z,Texas,Houston,"5051 Bellfort Ave,Houston,Texas",Bastian Elementary School,"29.668350750000002,-95.3492185924135",0,0,0,0,1
3028272,2024-09-19T00:00:00Z,Georgia,Atlanta,"Avenue Pl,Atlanta,Georgia",Emory Atlanta Campus,"33.7894956,-84.3237095",0,0,0,0,0
3027566,2024-09-18T00:00:00Z,Maryland,Waldorf,"2040 St Thomas Dr,Waldorf,Maryland",Benjamin Stoddert Middle School,"38.6012303,-76.8977493",0,0,0,0,0
3029708,2024-09-18T00:00:00Z,Ohio,Columbus,"N High St,Columbus,Ohio",Ohio State University,"40.00568015,-83.02866123579578",0,0,0,0,0
3027589,2024-09-18T00:00:00Z,Texas,Bryan,"3450 Campus Dr,Bryan,Texas",Bryan High School,"30.655456100000002,-96.3341748773851",0,0,0,0,1
3027865,2024-09-18T00:00:00Z,New York,Staten Island,"105 Hamilton Ave,Staten Island,New York",Curtis High School,"40.64563725,-74.08238533123526",0,0,0,0,1
3027892,2024-09-17T00:00:00Z,Kentucky,Mount Sterling,"3570 Indian Mound Dr,Mount Sterling,Kentucky",McNabb Middle School,"38.0420818,-83.9398367",0,0,0,0,1
3027743,2024-09-17T00:00:00Z,Minnesota,Saint Paul,"1495 Rice St,Saint Paul,Minnesota",Washington Technology Magnet School,"44.9870921,-93.1110707",0,1,0,0,1
3027252,2024-09-17T00:00:00Z,New Mexico,Albuquerque,"8100 Rainbow Blvd NW,Albuquerque,New Mexico",Volcano Vista High School,"35.17852225,-106.73327820415696",0,0,0,0,1
3027491,2024-09-17T00:00:00Z,Florida,Plant City,"1202 W Grant St,Plant City,Florida",Simmons Career Center,"28.0045796,-82.13468365461634",0,0,0,0,1
3027458,2024-09-17T00:00:00Z,Texas,El Paso,"950 Bordeaux Dr,El Paso,Texas",Del Valle High School,"31.69174835,-106.2976756675566",0,0,0,0,2
3026913,2024-09-17T00:00:00Z,Oregon,Central Point,"4410 Rogue Valley Hwy,Central Point,Oregon",Crater High School,"42.38040745,-122.9220808025793",0,0,0,0,1
3025916,2024-09-16T00:00:00Z,Ohio,Columbus,"John Herrick Dr and Olentangy River Rd,Columbus,Ohio",Ohio State University,"40.00568015,-83.02866123579578",0,1,0,0,1
3025615,2024-09-16T00:00:00Z,Virginia,Orange,"230 Montevista Ave,Orange,Virginia",Orange Elementary School,"38.2482793,-78.11755772100841",0,0,0,0,0
3027274,2024-09-16T00:00:00Z,Georgia,Covington,"8187 Carlton Trail NW,Covington,Georgia",Cousins Middle School,"33.6123888,-83.87908115220154",0,0,0,0,1
3023052,2024-09-13T00:00:00Z,Louisiana,New Orleans,"501 City Park Ave,New Orleans,Louisiana",Delgado Community College,"29.986456099999998,-90.10417418584733",0,0,0,0,0
3025721,2024-09-13T00:00:00Z,California,Sacramento,"6201 Lemon Hill Ave,Sacramento,California",Will C. Wood Middle School,"38.5168514,-121.4299534",0,0,0,0,1
3023962,2024-09-13T00:00:00Z,Georgia,Atlanta,"225 Hamilton E Holmes Dr NW,Atlanta,Georgia",Frederick Douglass High School,"33.7620255,-84.46769985662655",0,0,0,0,0
3022885,2024-09-13T00:00:00Z,Florida,Orlando,"1000 E Kaley St,Orlando,Florida",Boone High School,"28.5189072,-81.36600972118563",0,0,0,0,2
3022945,2024-09-13T00:00:00Z,Ohio,Marion,"420 Presidential Dr,Marion,Ohio",Grant Middle School,"40.581261,-83.1210351",0,0,0,0,1
3022937,2024-09-13T00:00:00Z,Georgia,Duluth,"3200 Pleasant Hill Rd,Duluth,Georgia",Duluth Middle School,"33.987445550000004,-84.1583893261834",0,0,0,0,1
3023940,2024-09-13T00:00:00Z,Georgia,Newnan,"3220 Fischer Rd,Newnan,Georgia",Northgate High School,"33.4682153,-84.6661808",0,0,0,0,1
3022966,2024-09-12T00:00:00Z,New York,Rochester,"164 Alexander St,Rochester,New York",Monroe High School,"43.14675465,-77.5980484101675",0,0,0,0,1
3022941,2024-09-12T00:00:00Z,Georgia,Atlanta,"370 Old Ivy Rd NE,Atlanta,Georgia",Sarah Smith Elementary School,"33.8581593,-84.3754822",0,0,0,0,0
3022896,2024-09-12T00:00:00Z,Florida,Tallahassee,"800 Alabama St,Tallahassee,Florida",Griffin Middle School,"30.4572094,-84.29685669609941",0,0,0,0,1
3022890,2024-09-12T00:00:00Z,Florida,Tampa,"1701 N Blvd,Tampa,Florida",Blake High School,"27.9584988,-82.4662627183175",0,0,0,0,1
3032624,2024-09-12T00:00:00Z,Illinois,Lombard,"1014 S Main St,Lombard,Illinois",Glenbard East High School,"41.866213450000004,-88.02163496560406",0,0,0,0,0
3023512,2024-09-12T00:00:00Z,Texas,San Angelo,"900 E 43rd St,San Angelo,Texas",Lake View High School,"31.5040491,-100.4425935",0,0,0,0,1
3021683,2024-09-11T00:00:00Z,South Carolina,Marion,"1205 S Main St,Marion,South Carolina",Marion High School,"34.1627003,-79.3942134",0,0,0,0,1
3021579,2024-09-11T00:00:00Z,Tennessee,Bolivar,"313 Harris St,Bolivar,Tennessee",Bolivar Central High School,"35.259209999999996,-89.00053750000001",0,0,0,0,1
3021873,2024-09-11T00:00:00Z,Kentucky,Louisville,"4409 Preston Hwy,Louisville,Kentucky",Louisville Male High School,"38.1851276,-85.72059908263796",0,0,0,0,1
3023137,2024-09-11T00:00:00Z,Georgia,Trion,"919 Allgood St,Trion,Georgia",Trion High School,"34.5439735,-85.3124557",0,1,0,0,0
3023020,2024-09-11T00:00:00Z,Indiana,Anderson,"2108 E 200 N,Anderson,Indiana",Highland Middle School,"40.13740005,-85.62917186559143",0,0,0,0,1
3022983,2024-09-11T00:00:00Z,West Virginia,New Haven,"135 Mill St,New Haven,West Virginia",New Haven Elementary School,"38.987684400000006,-81.96895203",0,0,0,0,1
3021397,2024-09-11T00:00:00Z,Florida,Altamonte Springs,"991 Sand Lake Rd,Altamonte Springs,Florida",Lake Brantley High School,"28.6823458,-81.42261942253886",0,0,0,0,1
3021964,2024-09-11T00:00:00Z,Florida,Orange Park,"4035 Plantation Oaks Blvd,Orange Park,Florida",Oakleaf High School,"30.17452445,-81.83915073093809",0,0,0,0,1
3022222,2024-09-10T00:00:00Z,South Carolina,Aiken,"961 Leadership Dr,Aiken,South Carolina",USC Aiken,"33.5722291,-81.78099320579022",0,0,0,0,1
3020742,2024-09-10T00:00:00Z,Nebraska,Omaha,"8204 Crown Point Ave,Omaha,Nebraska",Northwest High School,"41.3134087,-96.0422223016931",0,1,0,0,1
3029212,2024-09-10T00:00:00Z,Virginia,Norfolk,"1301 W 49th St,Norfolk,Virginia",Webb University Center,"36.8865127,-76.30697091323088",0,0,0,0,0
3021824,2024-09-10T00:00:00Z,Tennessee,Memphis,"3965 S Germantown Rd,Memphis,Tennessee",Germanshire Elementary School,"35.040563,-89.826966",0,0,0,0,0
3021574,2024-09-10T00:00:00Z,Illinois,Lombard,"1014 S Main St,Lombard,Illinois",Glenbard East High School,"41.866213450000004,-88.02163496560406",0,0,0,0,1
3020758,2024-09-09T00:00:00Z,Iowa,Des Moines,"4419 Center St,Des Moines,Iowa",Theodore Roosevelt High School,"41.592736849999994,-93.67823349176476",0,0,0,0,1
3020948,2024-09-09T00:00:00Z,Pennsylvania,Philadelphia,"1400 block of Cecil B Moore Ave,Philadelphia,Pennsylvania",Temple University Campus,"40.0052538,-75.15170515693715",0,1,0,0,0
3021504,2024-09-09T00:00:00Z,North Carolina,Raleigh,"5500 Dixon Dr,Raleigh,North Carolina",Sanderson High School,"35.86129425,-78.64664664553496",0,0,0,0,1
3020472,2024-09-09T00:00:00Z,North Carolina,Statesville,"474 N Center St,Statesville,North Carolina",Statesville High School,"35.79301515,-80.89178710266725",0,0,0,0,1
3019803,2024-09-09T00:00:00Z,Washington,Vancouver,"1500 SE Blairmont Dr,Vancouver,Washington",Mountain View High School,"45.6119657,-122.51874261925266",0,0,0,0,2
3019385,2024-09-09T00:00:00Z,North Carolina,Raleigh,"2316 Hillsborough St,Raleigh,North Carolina",North Carolina State University,"35.77184965,-78.67408695452633",0,0,0,0,1
3020954,2024-09-07T00:00:00Z,Nebraska,Lincoln,"1 Memorial Stadium Dr,Lincoln,Nebraska",Memorial Stadium,"40.820717900000005,-96.70475616344208",0,0,0,0,1
3017287,2024-09-06T00:00:00Z,Mississippi,Caledonia,"9509 Wolfe Rd,Caledonia,Mississippi",Caledonia Elementary,"33.6801141,-88.3275369",0,0,0,0,0
3017139,2024-09-06T00:00:00Z,Maryland,Joppa (Joppatowne),"555 Joppa Farm Rd,Joppa (Joppatowne),Maryland",Joppatowne High School,"39.41492475,-76.35142995688963",1,0,0,0,1
3017742,2024-09-06T00:00:00Z,North Carolina,Rolesville,"1099 E Young St,Rolesville,North Carolina",Rolesville High School,"35.90609135,-78.44141708109629",0,0,0,0,1
3017541,2024-09-06T00:00:00Z,Tennessee,Nashville,"3812 Hillsboro Pike,Nashville,Tennessee",Hillsboro High School,"36.1063982,-86.81089844653394",0,0,0,0,1
