Incident ID,Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3034978,2024-09-27T00:00:00Z,Wyoming,Rock Springs,0,0,0,0,"0"
3034650,2024-09-26T00:00:00Z,New York,Brooklyn,0,0,0,0,"2"
3034963,2024-09-26T00:00:00Z,Idaho,Pocatello,0,0,0,0,"0"
3034653,2024-09-25T00:00:00Z,Georgia,Newnan,0,0,0,0,"1"
3033809,2024-09-25T00:00:00Z,Washington,Kennewick,0,0,0,0,"0"
3034542,2024-09-25T00:00:00Z,Louisiana,Loranger,0,0,0,0,"1"
3034357,2024-09-25T00:00:00Z,New York,Brooklyn,0,2,0,0,"0"
3034261,2024-09-25T00:00:00Z,Pennsylvania,Williamsport,0,0,0,0,"1"
3034905,2024-09-25T00:00:00Z,Tennessee,Maryville,0,0,0,0,"1"
3034921,2024-09-25T00:00:00Z,Tennessee,Memphis,0,0,0,0,"1"
3033131,2024-09-24T00:00:00Z,Delaware,New Castle,0,0,0,0,"1"
3033272,2024-09-24T00:00:00Z,North Carolina,Charlotte,0,0,0,0,"1"
3033231,2024-09-24T00:00:00Z,Illinois,Highland Park,0,0,0,0,"1"
3034561,2024-09-24T00:00:00Z,North Carolina,Warsaw,0,0,0,0,"0"
3033601,2024-09-24T00:00:00Z,New York,Brooklyn,0,1,0,0,"0"
3034226,2024-09-24T00:00:00Z,Washington,Camas,0,0,0,0,"0"
3032410,2024-09-23T00:00:00Z,Alabama,Albertville,0,0,0,0,"1"
3032279,2024-09-23T00:00:00Z,Tennessee,Cordova,0,0,0,0,"1"
3032019,2024-09-23T00:00:00Z,Maryland,Hyattsville (Landover Hills),0,0,0,0,"1"
3031797,2024-09-23T00:00:00Z,Kansas,Wichita,0,1,0,1,"1"
3032802,2024-09-23T00:00:00Z,Florida,Jacksonville,0,0,0,0,"1"
3031860,2024-09-22T00:00:00Z,Arizona,Tucson,1,0,0,0,"1"
3032628,2024-09-22T00:00:00Z,New York,Batavia,0,0,0,0,"1"
3031418,2024-09-21T00:00:00Z,Texas,Marble Falls,0,1,0,0,"0"
3032165,2024-09-21T00:00:00Z,South Dakota,Sioux Falls,0,0,0,0,"1"
3030406,2024-09-20T00:00:00Z,Oregon,Gresham,0,0,0,0,"1"
3032954,2024-09-20T00:00:00Z,New Mexico,Albuquerque,0,0,0,0,"2"
3029512,2024-09-20T00:00:00Z,West Virginia,Miami,0,0,0,0,"1"
3030257,2024-09-20T00:00:00Z,New York,New York (Manhattan),0,0,0,0,"1"
3029118,2024-09-20T00:00:00Z,Louisiana,Youngsville,0,0,0,0,"1"
3030037,2024-09-20T00:00:00Z,California,Stockton,0,0,0,0,"1"
3034186,2024-09-19T00:00:00Z,Tennessee,Nashville,0,0,0,0,"0"
3028309,2024-09-19T00:00:00Z,Florida,Sebring,0,0,0,0,"1"
3028681,2024-09-19T00:00:00Z,South Dakota,Sturgis,0,0,0,0,"1"
3030081,2024-09-19T00:00:00Z,Florida,Palm Beach Gardens (Riviera Beach),0,0,0,0,"1"
3032176,2024-09-19T00:00:00Z,South Dakota,Sturgis,0,0,0,0,"1"
3029348,2024-09-19T00:00:00Z,Texas,San Antonio,0,0,0,0,"1"
3029797,2024-09-19T00:00:00Z,Texas,Houston,0,0,0,0,"1"
3029261,2024-09-19T00:00:00Z,New York,Corona (Queens),0,0,0,0,"2"
3028272,2024-09-19T00:00:00Z,Georgia,Atlanta,0,0,0,0,"0"
3027566,2024-09-18T00:00:00Z,Maryland,Waldorf,0,0,0,0,"0"
3029708,2024-09-18T00:00:00Z,Ohio,Columbus,0,0,0,0,"0"
3027867,2024-09-18T00:00:00Z,Indiana,Fort Wayne,0,0,0,0,"1"
3027589,2024-09-18T00:00:00Z,Texas,Bryan,0,0,0,0,"1"
3027865,2024-09-18T00:00:00Z,New York,Staten Island,0,0,0,0,"1"
