Incident ID,Incident Date,State,City Or County,Address,Complete_Address,School name,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3027605,2024-09-18T00:00:00Z,Missouri,Saint Louis,5000  Kensington Ave,"5000  Kensington Ave,Saint Louis,Missouri",,"38.653803,-90.263279",2,2,0,0,0
3028704,2024-09-18T00:00:00Z,Ohio,Akron,744 Colette Dr,"744 Colette Dr,Akron,Ohio",,"41.050393642857145,-81.50162064285715",0,4,0,0,0
3026197,2024-09-16T00:00:00Z,Illinois,Chicago,1500 W 51st St,"1500 W 51st St,Chicago,Illinois",,"41.8014757,-87.66257988435271",0,4,0,0,0
3024100,2024-09-14T00:00:00Z,Kentucky,Louisville,521 N 22nd St,"521 N 22nd St,Louisville,Kentucky",,"38.2668098,-85.78277702335026",0,4,0,0,0
3024007,2024-09-14T00:00:00Z,Texas,Houston,4901 Laura Koppe Rd,"4901 Laura Koppe Rd,Houston,Texas",,"29.840617,-95.318802",3,8,0,0,0
3026772,2024-09-14T00:00:00Z,Alabama,Selma,201 N Race St,"201 N Race St,Selma,Alabama",,"32.413781,-86.996936",0,4,0,0,0
3024089,2024-09-13T00:00:00Z,Tennessee,Antioch,223 Bart Dr,"223 Bart Dr,Antioch,Tennessee",,"36.057306,-86.689793",3,1,0,0,0
3022787,2024-09-12T00:00:00Z,Virginia,Suffolk,822 E Washington St,"822 E Washington St,Suffolk,Virginia",,"36.72483914701462,-76.57074136216696",2,3,0,0,0
3018370,2024-09-07T00:00:00Z,Florida,Opa Locka,15600 NW 42nd Ave,"15600 NW 42nd Ave,Opa Locka,Florida",,"25.8907209,-80.2674138",0,5,0,0,0
3018252,2024-09-07T00:00:00Z,Pennsylvania,Ellwood City,183 Portersville Rd,"183 Portersville Rd,Ellwood City,Pennsylvania",,"40.85870861285466,-80.26343854889024",1,4,0,0,1
3017295,2024-09-06T00:00:00Z,District of Columbia,Washington,900  Varney St SE,"900  Varney St SE,Washington,District of Columbia",,"38.835648649999996,-76.9915256262321",0,5,0,0,0
3014703,2024-09-04T00:00:00Z,Georgia,Winder,940 Haymon Morris Rd,"940 Haymon Morris Rd,Winder,Georgia",,"33.9485136,-83.78610010087367",4,7,0,0,1
